Wavenumber(cm^-1),2.0MLs101,2.0MLp101,2.0MLs010,2.0MLp010
1432.92337,1.2067E-6,-2.788E-6,-2.786E-7,-7.0342E-6
1434.85194,1.409E-6,-2.6218E-6,-3.68E-7,-5.9552E-6
1436.7805,1.3139E-6,-1.4609E-6,-1.0513E-6,-4.4348E-6
1438.70906,7.814E-7,-3.4693E-6,-1.8043E-6,-4.2223E-6
1440.63763,2.036E-7,-5.6802E-6,-2.0446E-6,-4.7147E-6
1442.56619,-2.79E-8,-5.5879E-6,-1.82E-6,-4.6723E-6
1444.49476,1.883E-7,-6.2535E-6,-1.5527E-6,-3.7376E-6
1446.42332,4.825E-7,-7.4489E-6,-1.635E-6,-3.3783E-6
1448.35189,-9.98E-8,-7.0265E-6,-2.089E-6,-4.1647E-6
1450.28045,-1.2751E-6,-7.9034E-6,-2.1495E-6,-4.6853E-6
1452.20902,-1.0543E-6,-1.05118E-5,-1.2275E-6,-4.3922E-6
1454.13758,8.849E-7,-9.7274E-6,-3.59E-8,-3.9839E-6
1456.06614,2.4487E-6,-5.0587E-6,1.103E-7,-3.7863E-6
1457.99471,2.3041E-6,-1.2789E-6,-6.466E-7,-4.0123E-6
1459.92327,8.838E-7,-2.5519E-6,-1.467E-6,-4.2039E-6
1461.85184,-8.631E-7,-7.6669E-6,-1.306E-6,-3.803E-6
1463.7804,-1.4017E-6,-1.0492E-5,-1.912E-7,-3.3671E-6
1465.70897,-1.651E-7,-9.8527E-6,7.964E-7,-2.9944E-6
1467.63753,1.6218E-6,-8.9605E-6,9.614E-7,-1.9622E-6
1469.5661,2.77E-6,-7.8098E-6,5.9E-7,-1.206E-7
1471.49466,2.514E-6,-6.4322E-6,4.769E-7,9.611E-7
1473.42322,2.675E-7,-6.538E-6,1.0939E-6,1.874E-7
1475.35179,-1.8406E-6,-7.4305E-6,1.6652E-6,-1.5041E-6
1477.28035,-2.052E-6,-6.5936E-6,1.3564E-6,-1.6973E-6
1479.20892,-1.1932E-6,-3.6373E-6,8.459E-7,-6.085E-7
1481.13748,1.8378E-6,-2.615E-7,7.825E-7,2.551E-7
1483.06605,6.173E-6,2.13E-7,4.061E-7,5.885E-7
1484.99461,6.4693E-6,-2.5647E-6,-4.549E-7,1.2553E-6
1486.92317,6.949E-7,-1.769E-6,-1.1974E-6,8.812E-7
1488.85174,-5.2483E-6,5.3387E-6,-1.5892E-6,-1.5085E-6
1490.7803,-5.0642E-6,1.26267E-5,-1.69E-6,-3.8819E-6
1492.70887,-2.0924E-6,1.40841E-5,-1.5414E-6,-4.8002E-6
1494.63743,-2.1126E-6,1.10948E-5,-1.5617E-6,-5.316E-6
1496.566,-4.1664E-6,1.64014E-5,-2.2873E-6,-6.376E-6
1498.49456,-5.6877E-6,3.31065E-5,-3.8812E-6,-8.015E-6
1500.42313,-7.4057E-6,3.44212E-5,-5.9072E-6,-1.06154E-5
1502.35169,-7.8181E-6,1.23131E-5,-7.7911E-6,-1.37346E-5
1504.28025,-7.0915E-6,3.4817E-6,-9.4088E-6,-1.65829E-5
1506.20882,-1.26853E-5,1.731E-5,-1.09391E-5,-1.88096E-5
1508.13738,-1.93151E-5,1.88331E-5,-1.20661E-5,-1.91477E-5
1510.06595,-1.72599E-5,-1.2636E-6,-1.21042E-5,-1.64648E-5
1511.99451,-1.28394E-5,-1.84502E-5,-1.08202E-5,-1.16886E-5
1513.92308,-8.9983E-6,-1.67033E-5,-8.2219E-6,-6.4247E-6
1515.85164,-4.0817E-6,-6.0425E-6,-4.8715E-6,-1.7481E-6
1517.78021,-5.738E-7,6.67E-8,-2.153E-6,1.1257E-6
1519.70877,1.3259E-6,5.188E-6,-7.418E-7,2.167E-6
1521.63733,1.4118E-6,9.9029E-6,-1.442E-7,2.5775E-6
1523.5659,-3.521E-7,8.9007E-6,4.615E-7,2.2093E-6
1525.49446,-1.9255E-6,5.2168E-6,1.4946E-6,5.072E-7
1527.42303,-2.0232E-6,2.1853E-6,1.6336E-6,-9.258E-7
1529.35159,-7.386E-7,4.008E-7,6.858E-7,-9.06E-7
1531.28016,7.837E-7,5.3E-8,-1.328E-7,-5.638E-7
1533.20872,3.925E-7,8.174E-7,-4.567E-7,-3.23E-7
1535.13729,-1.6923E-6,3.0403E-6,-5.601E-7,-4.447E-7
1537.06585,-1.3535E-6,5.6938E-6,-2.959E-7,-1.3445E-6
1538.99441,1.2794E-6,6.6178E-6,1.044E-7,-1.999E-6
1540.92298,1.8652E-6,4.8593E-6,-5.86E-8,-1.303E-6
1542.85154,4.619E-7,2.0328E-6,-5.484E-7,-2.801E-7
1544.78011,-7.265E-7,9.006E-7,-7.66E-7,1.473E-7
1546.70867,-1.3446E-6,2.092E-6,-9.012E-7,2.737E-7
1548.63724,-1.1643E-6,3.3823E-6,-1.3652E-6,-6.087E-7
1550.5658,-3.54E-8,2.8693E-6,-1.7576E-6,-2.6625E-6
1552.49437,1.0012E-6,1.9254E-6,-1.254E-6,-4.2931E-6
1554.42293,1.0209E-6,2.0016E-6,-4.21E-8,-4.6579E-6
1556.35149,9.437E-7,2.6959E-6,1.1559E-6,-4.0752E-6
1558.28006,1.5821E-6,4.0326E-6,1.5592E-6,-3.7454E-6
1560.20862,1.668E-6,4.4467E-6,8.448E-7,-3.8739E-6
1562.13719,5.535E-7,3.1146E-6,-1.963E-7,-3.3631E-6
1564.06575,-3.788E-7,2.059E-6,-7.139E-7,-2.6042E-6
1565.99432,-4.044E-7,1.484E-6,-3.031E-7,-2.8093E-6
1567.92288,-2.491E-7,9.076E-7,2.316E-7,-3.3415E-6
1569.85145,-4.51E-7,6.529E-7,-3.24E-8,-3.1462E-6
1571.78001,-2.748E-7,5.785E-7,-3.371E-7,-2.8455E-6
1573.70857,1.0303E-6,1.1919E-6,4.26E-8,-3.2284E-6
1575.63714,2.0037E-6,1.6643E-6,1.383E-7,-4.0589E-6
1577.5657,1.1544E-6,7.15E-8,-6.075E-7,-4.48E-6
1579.49427,-3.383E-7,-1.8831E-6,-1.2073E-6,-4.5468E-6
1581.42283,-5.977E-7,-2.3783E-6,-1.215E-6,-4.8264E-6
1583.3514,2.172E-7,-2.6062E-6,-1.1183E-6,-4.4916E-6
1585.27996,7.484E-7,-3.2924E-6,-8.886E-7,-3.3895E-6
1587.20853,3.724E-7,-3.6353E-6,-1.065E-7,-2.0914E-6
1589.13709,-1.431E-7,-3.3134E-6,8.951E-7,-6.705E-7
1591.06565,-1.965E-7,-2.6063E-6,1.1646E-6,8.723E-7
1592.99422,-1.243E-7,-1.9105E-6,9.542E-7,2.3541E-6
1594.92278,-2.82E-7,-9.862E-7,1.2307E-6,2.8187E-6
1596.85135,-9.499E-7,-4.787E-7,1.4823E-6,1.9078E-6
1598.77991,-1.8626E-6,-1.9157E-6,1.1607E-6,6.45E-7
1600.70848,-2.1955E-6,-3.9835E-6,5.967E-7,-4.807E-7
1602.63704,-2.2291E-6,-4.6283E-6,-4.173E-7,-1.8103E-6
1604.56561,-2.6852E-6,-5.2811E-6,-1.9459E-6,-2.8575E-6
1606.49417,-3.0424E-6,-6.4313E-6,-3.0017E-6,-2.8821E-6
1608.42273,-2.5779E-6,-5.8186E-6,-2.8921E-6,-2.6875E-6
1610.3513,-1.9731E-6,-3.7961E-6,-2.1717E-6,-2.4128E-6
1612.27986,-1.6781E-6,-1.5101E-6,-1.7999E-6,-1.0449E-6
1614.20843,-7.376E-7,1.9808E-6,-1.2453E-6,7.33E-8
1616.13699,3.559E-7,5.1914E-6,-8.67E-8,-9.742E-7
1618.06556,5.274E-7,5.2231E-6,7.391E-7,-1.2348E-6
